ID,RED,IR,RED 4xS,IR 4xS
487,229630,240880,229659,241087.25
488,229680,241045,229633,241141
489,229691,241220,229605,241146.75
490,229634,241204,229630,241147
491,229527,241095,229679,241147.75
492,229568,241068,229721,241113
493,229789,241221,229641,240891
494,229833,241207,229391,240497
495,229692,240956,229154,240024
496,229251,240180,228971,239691.25
497,228787,239645,228893,239535.75
498,228886,239315,228920,239527
499,228961,239625,228914,239564.5
500,228938,239558,228891,239510.75
501,228894,239610,228900,239519
502,228862,239465,228938,239567
503,228869,239410,228991,239667
504,228973,239591,229031,239791.25
505,229048,239802,229104,239907.75
506,229073,239865,229170,240002.5
507,229030,239907,229204,240072.5
508,229264,240057,229255,240126
509,229314,240181,229290,240188.5
510,229207,240145,229312,240233.5
511,229235,240121,229351,240281.75
512,229402,240307,229410,240357.25
513,229402,240361,229442,240457
514,229365,240338,229433,240507
515,229471,240423,229470,240585.5
516,229529,240706,229484,240704
517,229367,240561,229499,240718.25
518,229514,240652,229433,240626.25
519,229526,240897,229345,240424.5
520,229588,240763,229217,240087.25
521,229105,240193,229052,239728
522,229162,239845,228969,239493.75
523,229013,239548,228908,239350.5
524,228927,239326,228878,239316.75
525,228773,239256,228884,239319.5
526,228917,239272,228954,239369.75
527,228896,239413,228983,239442.5
528,228949,239337,229016,239498.5
529,229055,239457,229079,239631.25
530,229032,239563,229164,239769
531,229026,239637,229221,239877
532,229201,239868,229284,239971.5
533,229397,240008,229340,240014
534,229260,239995,229352,240071.5
535,229279,240015,229378,240125
536,229423,240038,229406,240211.25
537,229446,240238,229426,240325.25
538,229363,240209,229481,240420.5
539,229390,240360,229586,240554
540,229506,240494,229669,240673.5
541,229663,240619,229726,240807.5
542,229784,240743,229770,240919.25
543,229723,240838,229771,240972.25
544,229732,241030,229756,240903.25
545,229840,241066,229711,240702
546,229789,240955,229591,240378
547,229663,240562,229463,240045.75
548,229550,240225,229286,239775.25
549,229361,239770,229094,239557.75
550,229276,239626,228960,239430.5
551,228958,239480,228860,239350.5
552,228780,239355,228861,239299.75
553,228826,239261,228934,239328
554,228875,239306,229032,239421.25
555,228961,239277,229105,239541.25
556,229072,239468,229172,239709.75
557,229219,239634,229188,239845
558,229168,239786,229172,239916.5
559,229230,239951,229179,239991.5
560,229133,240009,229230,240061
561,229155,239920,229320,240163.75
562,229196,240086,229439,240305.25
563,229435,240229,229566,240453.25
564,229495,240420,229631,240557.25
565,229630,240486,229685,240658.5
566,229705,240678,229688,240758
567,229693,240645,229697,240851.75
568,229711,240825,229730,240943.75
569,229644,240884,229796,241027.5
570,229741,241053,229869,241079.75
571,229823,241013,229888,241008
572,229974,241160,229808,240832
573,229936,241093,229658,240527.25
574,229820,240766,229486,240210.5
575,229502,240309,229375,239998.5
576,229373,239941,229340,239904.25
577,229248,239826,229342,239917.25
578,229376,239918,229390,239999.75
579,229362,239932,229422,240063.75
580,229381,239993,229446,240113.5
581,229440,240156,229489,240187
582,229503,240174,229565,240267.25
583,229461,240131,229610,240356.5
584,229550,240287,229683,240463
585,229747,240477,229751,240592
586,229683,240531,229795,240664.5
587,229751,240557,229866,240755.75
588,229821,240803,229929,240862.25
589,229925,240767,229979,240892.75
590,229966,240896,229984,240935.75
591,230002,240983,229993,240969.5
592,230023,240925,229997,240988.25
593,229945,240939,230024,241064.25
594,230003,241031,230055,241177.75
595,230016,241058,230092,241254.5
596,230130,241229,230121,241337.75
597,230069,241393,230092,241365
598,230153,241338,230037,241241
599,230131,241391,229911,240987.5
600,230014,241338,229720,240639
601,229848,240897,229501,240274
602,229652,240324,229382,240019
603,229364,239997,229327,239948.25
604,229141,239878,229358,239986.25
605,229372,239877,229431,240049.25
606,229429,240041,229447,240136
607,229488,240149,229448,240199.75
608,229434,240130,229438,240264.5
609,229435,240224,229508,240384.75
610,229433,240296,229599,240506.5
611,229448,240408,229701,240648.75
612,229715,240611,229775,240774
613,229799,240711,229771,240851.5
614,229841,240865,229733,240915.25
615,229744,240909,229743,240948.25
616,229699,240921,229806,240996.75
617,229648,240966,229903,241118.25
618,229879,240997,230032,241238.5
619,229998,241103,230073,241380
620,230087,241407,230090,241477.5
621,230164,241447,230082,241505
622,230044,241563,230099,241540.25
623,230063,241493,230179,241585.75
624,230055,241517,230210,241602
625,230232,241588,230168,241474
626,230364,241745,229978,241241
627,230188,241558,229703,240878
628,229888,241005,229506,240530.25
629,229473,240656,229413,240358.5
630,229263,240293,229410,240308.5
631,229401,240167,229461,240362.75
632,229514,240318,229430,240473.5
633,229460,240456,229410,240539.5
634,229469,240510,229430,240579.25
635,229278,240610,229458,240644.25
636,229432,240582,229586,240723.75
637,229539,240615,229679,240868.25
638,229582,240770,229744,241006.75
639,229791,240928,229796,241136.75
640,229802,241160,229813,241225.25
641,229802,241169,229826,241259.75
642,229790,241290,229841,241318
643,229858,241282,229877,241356
644,229855,241298,229910,241423.75
645,229859,241402,229959,241503.75
646,229935,241442,230027,241612.75
647,229989,241553,230084,241711
648,230054,241618,230120,241790
649,230129,241838,230137,241832.25
650,230165,241835,230074,241734.25
651,230133,241869,229977,241557.25
652,230120,241787,229838,241276.75
653,229879,241446,229650,240967.5
654,229776,241127,229519,240742.75
655,229578,240747,229416,240605.75
656,229366,240550,229372,240587.75
657,229356,240547,229348,240581.25
658,229362,240579,229350,240598.5
659,229402,240675,229370,240645.5
660,229270,240524,,
661,229367,240616,,
662,229439,240767,,
663,229554,240884,,
664,229544,241073,,
665,229509,241058,,
666,229609,241026,,
667,229709,241159,,
668,229755,241338,,
669,229742,241398,,
670,229701,241451,,
671,229694,241393,,
672,229937,241493,,
673,230009,241639,,
674,230030,241732,,
675,230070,241812,,
676,230068,241832,,
677,230135,241944,,
678,229917,241827,,
679,229887,241509,,
680,229693,241091,,
681,229389,240802,,
682,229206,240469,,
683,229240,240511,,
684,229357,240687,,
685,229257,240597,,
686,229096,240385,,
687,229178,240430,,
688,229308,240581,,
689,229303,240751,,
690,229180,240752,,
691,229105,240702,,
692,229350,240915,,
693,229597,241158,,
694,229605,241267,,
695,229299,241139,,
696,229291,241030,,
697,229709,241277,,
698,229867,241756,,
699,229733,241572,,
700,229544,241331,,
701,229675,241446,,
702,229944,241716,,
703,229948,241962,,
704,229792,241927,,
705,229651,241588,,
706,229658,241345,,
707,229495,241057,,
708,229245,240812,,
709,229105,240562,,
710,229015,240292,,
711,229192,240538,,
712,229219,240642,,
713,229039,240569,,
714,228975,240422,,
715,229079,240545,,
716,229279,240967,,
717,229377,241174,,
718,229343,241121,,
719,229474,241191,,
720,229561,241357,,
721,229661,241502,,
722,229598,241528,,
723,229586,241450,,
724,229645,241599,,
725,229777,241770,,
726,229738,241846,,
727,229675,241689,,
728,229776,241824,,
729,229907,242086,,
730,230026,242265,,
731,230007,242252,,
732,229877,242079,,
733,229854,241820,,
734,229472,241437,,
735,229307,240999,,
736,229251,240963,,
737,229335,241090,,
738,229311,240989,,
739,229323,241017,,
740,229401,241184,,
741,229314,241231,,
742,229444,241235,,
743,229627,241470,,
744,229679,241606,,
745,229677,241643,,
746,229600,241745,,
747,229836,241871,,
748,229774,241811,,
749,229819,241886,,
750,230049,242116,,
751,230029,242133,,
752,229904,242146,,
753,229899,242099,,
754,230152,242327,,
755,230127,242431,,
756,230254,242502,,
757,229878,242354,,
758,230160,242498,,
759,230308,242459,,
760,229706,242002,,
761,229244,241249,,
762,229464,241224,,
763,229594,241414,,
764,229355,241321,,
765,229093,241000,,
766,229227,241104,,
767,229702,241451,,
768,229485,241667,,
769,229282,241402,,
770,229654,241536,,
771,229896,242112,,
772,229881,242216,,
773,229682,242076,,
774,229742,242017,,
775,229888,242187,,
776,230127,242399,,
777,230030,242536,,
778,229956,242449,,
779,229997,242441,,
780,230122,242516,,
781,230204,242814,,
782,230186,242789,,
783,230314,242989,,
784,230287,242938,,
785,230177,242544,,
786,229793,242081,,
787,229572,241777,,
788,229541,241665,,
789,229465,241673,,
790,229332,241488,,
791,229358,241499,,
792,229500,241688,,
793,229484,241874,,
794,229462,241623,,
795,229610,241857,,
796,229772,242125,,
797,229687,242114,,
798,229770,242151,,
799,229868,242260,,
800,229846,242298,,
801,229873,242332,,
802,229908,242460,,
803,229986,242582,,
804,230101,242799,,
805,229998,242751,,
806,229947,242665,,
807,230155,242813,,
808,230274,243056,,
809,230336,243118,,
810,230304,243164,,
811,230139,242928,,
812,229893,242423,,
813,229759,242082,,
814,229476,241827,,
815,229318,241558,,
816,229431,241623,,
817,229500,241793,,
818,229361,241717,,
819,229335,241588,,
820,229457,241765,,
821,229567,241861,,
822,229630,242131,,
823,229532,242101,,
824,229780,242243,,
