ID,RED,IR,RED 4xS,IR 4xS
928,211896,228949,,
929,212262,229736,,
930,212679,230708,,
931,213343,231907,,
932,213992,233088,,
933,214547,234283,,
934,215110,235461,,
935,215809,236580,,
936,214724,234873,,
937,209263,224939,,
938,207235,220816,,
939,207196,220694,,
940,207404,220889,,
941,207521,221035,,
942,207736,221390,,
943,208145,222363,,
944,208222,222636,,
945,208062,222524,,
946,208084,222644,,
947,208306,223142,,
948,208730,224065,,
949,209119,224739,,
950,209536,225434,,
951,209926,226082,,
952,210300,226578,,
953,210958,227420,,
954,211419,228347,,
955,211791,229354,,
956,212305,230377,,
957,212642,231050,,
958,213031,231832,,
959,213461,232887,,
960,214006,233902,,
961,211444,229479,,
962,206924,221245,,
963,206332,219941,,
964,206529,220078,,
965,206514,220163,,
966,206596,220110,,
967,207109,220908,,
968,207567,221777,,
969,207535,221785,,
970,207602,221870,,
971,207886,222359,,
972,208231,223167,,
973,208785,224173,,
974,209289,225134,,
975,209722,225929,,
976,210213,226760,,
977,210504,227448,,
978,210944,228199,,
979,211412,228979,,
980,211998,230187,,
981,212660,231445,,
982,213255,232642,,
983,213911,233956,,
984,214529,235186,,
985,214753,235688,,
986,210725,228536,,
987,206711,220952,,
988,206427,220258,,
989,206612,220613,,
990,206863,220856,,
991,206940,221001,,
992,207187,221691,,
993,207060,221672,,
994,206659,220730,,
995,206172,219573,,
996,206391,219467,,
997,205145,216003,,
998,188729,188459,,
999,153352,134831,,
1000,89284,73986,,
1001,38487,32588,,
1002,18072,15810,,
1003,8424,7781,,
1004,4222,4336,,
1005,2725,3020,,
1006,2188,2575,,
1007,2106,2315,,
1008,2101,2167,,
1009,2111,2152,,
1010,2101,2170,,
1011,2121,2172,,
1012,2114,2153,,
1013,2067,2137,,
1014,2109,2192,,
1015,2115,2138,,
1016,2086,2151,,
1017,2111,2200,,
1018,2054,2175,,
1019,2114,2136,,
1020,2060,2103,,
1021,2030,2119,,
1022,2105,2160,,
1023,2085,2143,,
1024,2082,2137,,
1025,2042,2111,,
1026,2059,2121,,
1027,2075,2142,,
1028,2118,2169,,
1029,2092,2167,,
1030,2080,2125,,
1031,2083,2131,,
1032,2087,2125,,
1033,2084,2149,,
1034,2085,2106,,
1035,2071,2099,,
1036,2062,2133,,
1037,2001,2158,,
1038,2103,2136,,
1039,2115,2168,,
1040,2073,2126,,
1041,2033,2104,,
1042,2073,2102,,
1043,2054,2144,,
1044,2095,2140,,
1045,2031,2166,,
1046,2000,2160,,
1047,2037,2135,,
1048,2096,2132,,
1049,2035,2116,,
1050,1988,2114,,
1051,2075,2122,,
1052,2038,2062,,
1053,2077,2166,,
1054,2056,2087,,
1055,2040,2099,,
1056,2085,2086,,
1057,2016,2121,,
1058,2001,2084,,
